Year,PDGES ID,NPRI,Company name and facility,NAICS,Town,Province,CO2,CH4,N20,HFC,PFC,SF6,Total
2011,G10003,,"Foothills Pipe Lines Ltd. - Foothills Pipeline, Alberta",486210,AIRDRIE,Alberta,246760.1391,13566.24,3182.9082,0,0,0,263509.2873
2011,G10006,2134,Agrium Inc. - Redwater Fertilizer Operations,325313,REDWATER,Alberta,1104998.176,56137.0859,31581.5936,0,0,0,1192716.855
2011,G10007,3974,Alberta Envirofuels - Alberta Envirofuels,325190,EDMONTON,Alberta,239253.5462,174.4075,423.16,0,0,0,239851.1137
2011,G10008,,Alliance Pipeline Ltd. - Alliance Pipeline Ltd. - AB Pipeline System,486210,CALGARY,Alberta,520906.3011,24438.5004,3696.5112,0,0,0,549041.3127
2011,G10009,1,Alberta-Pacific Forest Industries Inc. - Alberta-Pacific Forest Industries Inc.,322112,COUNTY OF ATHABASCA,Alberta,99316.65918,2162.477475,18161.9077,0,0,0,119641.0444
2011,G10015,,ATCO Gas and Pipelines Ltd. - ATCO Pipelines,486210,EDMONTON,Alberta,81622.28457,149789.581,3438.4134,0,0,0,234850.2789
2011,G10017,1902,Nexen Inc. - Balzac Gas Plant,211113,ROCKY VIEW COUNTY,Alberta,60366,3859.5,405.28,0,0,0,64630.78
2011,G10018,1033,Alberta Power (2000) Ltd. - Battle River Generating Station,221112,FORESTBURG,Alberta,5120894.924,1530.492425,22895.295,0,0,0,5145320.711
2011,G10029,3749,Blaze Energy Ltd. - Brazeau Gas Plant,211113,DRAYTON VALLEY,Alberta,84092.53125,57629.99855,1552.144324,0,0,0,143274.6741
2011,G10030,1362,Keyera Corp - Brazeau River Gas Plant,211113,DRAYTON VALLEY,Alberta,61346.24028,4646.82745,1706.0947,0,0,0,67699.16243
2011,G10040,15740,Calgary Energy Centre No. 2 Inc. - Calgary Energy Centre,221112,CALGARY,Alberta,441320.223,818.05,3507.162,0,0,0,445645.435
2011,G10044,3821,Canadian Fertilizers Limited - Canadian Fertilizers Limited,325313,MEDICINE HAT,Alberta,1632484.789,432.75,4933.7774,0,0,0,1637851.316
2011,G10045,5357,Cancarb Ltd. - Cancarb Ltd.,325189,MEDICINE HAT,Alberta,136796.2332,327.2525,356.855,0,0,4.9704,137485.3111
2011,G10046,11393,"Nova Gas Transmission Ltd. - TransCanada Pipeline, Alberta System",486210,FAIRVIEW,Alberta,1377173.775,470389.385,19350.034,0,0,0,1866913.194
2011,G10049,16687,Cenovus Energy - Caribou North Compressor Station,211113,BONNYVILLE,Alberta,27825.92528,9712.87525,215.752,0,0,0,37754.55253
2011,G10053,3269,Agrium Inc. - Carseland Nitrogen Operations,325313,CARSELAND,Alberta,535223.3812,27298.20675,2003.6924,0,0,0,564525.2804
2011,G10054,6700,TransCanada Energy Ltd. - Carseland Power Plant,221112,CARSELAND,Alberta,315919.4688,535.717475,2401.9992,0,0,0,318857.1854
2011,G10055,2857,Orica Canada Inc. - Carseland Works,325313,CARSELAND,Alberta,458.2727,10.5125,362869.7426,0,0,0,363338.5278
2011,G10058,6633,EnCana Corporation - Cavalier Power Plant,221112,STRATHMORE,Alberta,195208.3774,474.5,1472.12,0,0,0,197154.9974
2011,G10065,6625,"Cenovus FCCL Ltd., as operator for FCCL Partnership - Christina Lake SAGD Bitumen Battery",211114,LAC LA BICHE,Alberta,453228.9801,1584.52495,756.026,0,0,0,455569.531
2011,G10068,6576,City of Medicine Hat - Electric Utility - Generation,221112,MEDICINE HAT,Alberta,324263,3105.48495,2468.2744,0,0,6.84,329843.5994
2011,G10069,23368,Capital Power (Alberta) Limited Partnership - Clover Bar Energy Centre,221112,EDMONTON,Alberta,193824.7865,1237.9325,1475.6066,0,0,0,196538.3256
2011,G10071,5248,Inter Pipeline Extraction Ltd. - Cochrane Extraction Plant,211113,COCHRANE,Alberta,447233.0078,17132.0072,2785.0186,0,0,0,467150.0336
2011,G10073,442,Imperial Oil Resources - Cold Lake,211114,GRANDE CENTRE,Alberta,4501725.349,15175.83803,22376.66474,0,0,0,4539277.852
2011,G10086,15437,ATCO Gas and Pipelines Ltd. - ATCO Gas - Distribution Systems,221210,EDMONTON,Alberta,10694.79435,160596.9017,59.153,0,0,0,171350.849
2011,G10095,24315,City of Calgary - East Calgary Landfill,562210,CALGARY,Alberta,946,35398.74878,0,0,0,0,36344.74878
2011,G10096,4140,Taqa North Ltd. - East Crossfield Gas Plant 9-14-28-1W5,211113,CROSSFIELD,Alberta,103566.534,2400.145,432.2192,0,0,0,106398.8982
2011,G10098,3903,Suncor Energy Products Partnership - Edmonton Refinery,324110,EDMONTON,Alberta,1293407.533,6873.92295,6956.398462,0,0,0,1307237.855
2011,G10100,5284,Talisman Energy - Edson Gas Plant,211113,EDSON,Alberta,222934.4416,7473.434875,1444.108,0,0,0,231851.9845
2011,G10106,23956,ConocoPhillips Canada (BRC) Partnership - Elmworth Gas Plant,211113,ELMWORTH,Alberta,195270.7626,11758.6001,1725.718,0,0,0,208755.0807
2011,G10108,3752,Spectra Energy Empress LP - Empress Straddle Gas Plant,211113,CYPRESS COUNTY,Alberta,344172.6979,4457.29,1918.5836,0,0,0,350548.5715
2011,G10111,6826,Graymont Western Canada Inc. - Exshaw Plant,327410,EXSHAW,Alberta,141955.2089,102.4,248.532,0,0,0,142306.1409
2011,G10112,5291,Lafarge Canada Inc. - Exshaw Cement Plant,327310,EXSHAW,Alberta,950725.5222,413.1224,1113.951416,0,0,0,952252.5961
2011,G10119,2132,Sherritt International Corporation - Fort Saskatchewan,331410,FORT SASKATCHEWAN,Alberta,285979.8359,16214.03483,3456.6808,0,0,0,305650.5516
2011,G10120,5352,TransAlta Generation Partnership - Fort Saskatchewan Thermal Electric(Cogeneration) Power Plant,221112,FORT SASKATCHEWAN,Alberta,371759.9063,678.214975,2817.0536,0,0,0,375255.1748
2011,G10121,4874,Agrium Inc. - Fort Saskatchewan Nitrogen Operations,325313,FORT SASKATCHEWAN,Alberta,591765.9178,2700.287575,1889.8266,0,0,0,596356.032
2011,G10122,4142,BP Canada Energy Company - Fort Saskatchewan Storage and Fractionation,211113,FORT SASKATCHEWAN,Alberta,63987.18,88.815,349.8222,0,0,0,64425.8172
2011,G10125,18996,MEGlobal Canada Inc. - Fort Saskatchewan EOEG,325190,FORT SASKATCHEWAN,Alberta,55382.8505,7591.1075,0.6556,0,0,0,62974.6136
2011,G10127,267,Capital Power Generation Services Inc. - Genesee Thermal Generating Station,221112,WARBURG,Alberta,9333693.844,2896.8875,49048.267,0,0,0,9385638.999
2011,G10130,2875,Weyerhaeuser Company Limited - Grande Prairie Operations,322112,GRANDE PRAIRIE,Alberta,95765.54,25747.45,9707.797,0,0,0,131220.787
2011,G10132,1039,Milner Power Limited Partnership by its GP Milner Power Inc. - H.R.Milner Generating Station,221112,GRANDE CACHE,Alberta,1029979.872,460.237475,4430.068,0,0,0,1034870.178
2011,G10134,17122,Japan Canada Oil Sands Limited - Hangingstone SAGD Demonstration Facility,211114,RM OF WOOD BUFFALO,Alberta,254427.5617,1110.81255,367.9108,0,0,0,255906.285
2011,G10135,3758,Suncor Energy Oil and Gas Partnership - Hanlan Robb Gas Plant,211113,EDSON,Alberta,264126.8799,20317.1225,562.9816,0,0,0,285006.984
2011,G10137,3941,Taylor Processing Inc. - Harmattan Gas Processing Plant,211113,DIDSBURY,Alberta,331022.8352,27026.34928,2204.604,0,0,0,360253.7885
2011,G10143,21885,TransAlta Generation Partnership - Highvale Coal Mine,212115,SEBA BEACH,Alberta,90548.61719,138595.0019,867.9846,0,0,0,230011.6037
