Year,PDGES ID,NPRI,Company name and facility,NAICS,Town,Province,CO2,CH4,N20,HFC,PFC,SF6,Total
2010,G10003,,"Foothills Pipe Lines Ltd. - Foothills Pipeline, Alberta",486210,AIRDRIE,Alberta,188748.1406,12684.65288,2453.3446,0,0,0,203886.1381
2010,G10006,2134,Agrium Inc. - Redwater Fertilizer Operations,325313,REDWATER,Alberta,946430.6856,62039.8784,11844.9937,0,0,0,1020315.558
2010,G10007,3974,Alberta Envirofuels Inc. - Alberta Envirofuels,325190,EDMONTON,Alberta,257786.2265,264.3825,1606.22,0,0,0,259656.829
2010,G10008,,Alliance Pipeline Ltd. - Alberta Pipeline System,486210,CALGARY,Alberta,526264.744,26400.0002,3731.258,0,0,0,556396.0022
2010,G10009,1,Alberta-Pacific Forest Industries Inc. - Alberta-Pacific Forest Industries Inc.,322112,COUNTY OF ATHABASCA,Alberta,92038.55737,2055.2949,16840.0992,0,0,0,110933.9515
2010,G10015,,ATCO Gas and Pipelines Ltd. - ATCO Pipelines,486210,EDMONTON,Alberta,78935.14179,144400.6366,3391.7466,0,0,0,226727.525
2010,G10017,1902,Nexen Inc. - Balzac Gas Plant,211113,BALZAC,Alberta,178998,10292.99998,1203.026,0,0,0,190494.026
2010,G10018,1033,Alberta Power (2000) Ltd. - Battle River Generating Station,221112,FORESTBURG,Alberta,4956088.5,1280.459975,21936.25769,0,0,0,4979305.218
2010,G10029,3749,Blaze Energy Ltd. - Brazeau Gas Plant,211113,DRAYTON VALLEY,Alberta,78490.12891,58384.4076,1578.2974,0,0,0,138452.8339
2010,G10030,1362,Keyera Corp - Brazeau River Gas Plant,211113,DRAYTON VALLEY,Alberta,66589.26456,4788.917425,2151.56,0,0,0,73529.74199
2010,G10040,15740,Calgary Energy Centre No. 2 Inc. - Calgary Energy Centre,221112,CALGARY,Alberta,262675.8125,483.325,2082.424,0,0,0,265241.5615
2010,G10044,3821,Canadian Fertilizers Limited - Canadian Fertilizers Limited,325313,MEDICINE HAT,Alberta,1546161.714,411.485025,4692.2186,0,0,0,1551265.418
2010,G10045,5357,Cancarb Ltd. - Cancarb Ltd.,325189,MEDICINE HAT,Alberta,102746.2679,2642.932575,422.6236,0,0,4.56,105816.3841
2010,G10046,11393,"Nova Gas Transmission Ltd. - TransCanada Pipeline, Alberta System",486210,FAIRVIEW,Alberta,1307229.885,409792.3353,18791.045,0,0,0,1735813.265
2010,G10049,16687,Cenovus Energy Inc. - Caribou North Compressor Station,211113,BONNYVILLE,Alberta,25914.62075,8511.0749,207.706,0,0,0,34633.40165
2010,G10053,3269,Agrium Inc. - Carseland Nitrogen Operations,325313,CARSELAND,Alberta,508832.5155,5905.23755,1964.3564,0,0,0,516702.1095
2010,G10054,6700,TransCanada Energy Ltd. - Carseland Power Plant,221112,CARSELAND,Alberta,311645.75,530.635025,2390.8838,0,0,0,314567.2688
2010,G10055,2857,Orica Canada Inc. - Carseland Works,325313,CARSELAND,Alberta,1041.873413,23.9,399386.901,0,0,0,400452.6744
2010,G10058,6633,EnCana Corporation - Cavalier Power Plant,221112,STRATHMORE,Alberta,210319.4243,497.2,1579.996,0,0,0,212396.6203
2010,G10065,6625,"Cenovus FCCL Ltd., as operator for FCCL Partnership - Christina Lake SAGD Bitumen Battery",211114,LAC LA BICHE,Alberta,260970.9249,1167.349975,442.828,0,0,0,262581.1029
2010,G10068,6576,City of Medicine Hat - Electric Utility - Generation,221112,MEDICINE HAT,Alberta,322732.625,2974.674975,2606.308,0,0,0,328313.608
2010,G10069,23368,Capital Power (Alberta) Limited Partnership - Clover Bar Energy Centre,221112,EDMONTON,Alberta,180941.9844,1155.249975,1376.76,0,0,0,183473.9944
2010,G10071,5248,Inter Pipeline Extraction Ltd. - Cochrane Extraction Plant,211113,COCHRANE,Alberta,399838.1587,11672.99738,2538.2448,0,0,0,414049.4008
2010,G10073,442,Imperial Oil Resources - Cold Lake,211114,GRANDE CENTRE,Alberta,4465632.492,14007.19768,22310.4855,0,0,0,4501950.175
